Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Sat May 30 21:02:32 2026 ; 1 ; -31.0 ; -31.0 ; 272 ; 0
Sat May 30 21:02:34 2026 ; 2 ; -31.0 ; -31.0 ; 225 ; 0
Sat May 30 21:02:36 2026 ; 3 ; -31.0 ; -31.0 ; 232 ; 0
Sat May 30 21:02:38 2026 ; 4 ; -31.0 ; -31.0 ; 263 ; 0
Sat May 30 21:02:40 2026 ; 5 ; -31.0 ; -31.0 ; 176 ; 0
Sat May 30 21:02:42 2026 ; 6 ; -31.0 ; -31.0 ; 251 ; 0
Sat May 30 21:02:44 2026 ; 7 ; -31.0 ; -31.0 ; 276 ; 0
Sat May 30 21:02:46 2026 ; 8 ; -31.0 ; -31.0 ; 240 ; 0
Sat May 30 21:02:48 2026 ; 9 ; -31.0 ; -31.0 ; 185 ; 0
Sat May 30 21:02:51 2026 ; 10 ; -31.0 ; -31.0 ; 176 ; 0
