Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri May 29 21:26:45 2026 ; 71 ; -28.0 ; -28.0 ; 227 ; 0
Fri May 29 21:26:47 2026 ; 72 ; -28.0 ; -28.0 ; 289 ; 0
Fri May 29 21:26:49 2026 ; 73 ; -29.0 ; -28.0 ; 225 ; 0
Fri May 29 21:26:51 2026 ; 74 ; -28.0 ; -28.0 ; 291 ; 0
Fri May 29 21:26:53 2026 ; 75 ; -28.0 ; -28.0 ; 288 ; 0
Fri May 29 21:26:55 2026 ; 76 ; -28.0 ; -28.0 ; 295 ; 0
Fri May 29 21:26:57 2026 ; 77 ; -28.0 ; -28.0 ; 304 ; 0
Fri May 29 21:26:59 2026 ; 78 ; -28.0 ; -28.0 ; 306 ; 0
Fri May 29 21:27:02 2026 ; 79 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 21:27:04 2026 ; 80 ; -28.0 ; -28.0 ; 217 ; 0
Fri May 29 21:27:06 2026 ; 81 ; -28.0 ; -28.0 ; 303 ; 0
Fri May 29 21:27:08 2026 ; 82 ; -28.0 ; -28.0 ; 296 ; 0
Fri May 29 21:27:10 2026 ; 83 ; -28.0 ; -28.0 ; 286 ; 0
Fri May 29 21:27:12 2026 ; 84 ; -28.0 ; -28.0 ; 263 ; 0
Fri May 29 21:27:14 2026 ; 85 ; -28.0 ; -29.0 ; 224 ; 0
Fri May 29 21:27:16 2026 ; 86 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 21:27:18 2026 ; 87 ; -28.0 ; -28.0 ; 288 ; 0
Fri May 29 21:27:20 2026 ; 88 ; -28.0 ; -28.0 ; 306 ; 0
Fri May 29 21:27:23 2026 ; 89 ; -28.0 ; -28.0 ; 283 ; 0
Fri May 29 21:27:25 2026 ; 90 ; -28.0 ; -28.0 ; 289 ; 0
Fri May 29 21:27:27 2026 ; 91 ; -28.0 ; -28.0 ; 294 ; 0
Fri May 29 21:27:29 2026 ; 92 ; -28.0 ; -28.0 ; 304 ; 0
Fri May 29 21:27:31 2026 ; 93 ; -28.0 ; -28.0 ; 304 ; 0
Fri May 29 21:27:33 2026 ; 94 ; -28.0 ; -28.0 ; 297 ; 0
Fri May 29 21:27:35 2026 ; 95 ; -28.0 ; -28.0 ; 297 ; 0
Fri May 29 21:27:37 2026 ; 96 ; -28.0 ; -28.0 ; 250 ; 0
Fri May 29 21:27:39 2026 ; 97 ; -28.0 ; -28.0 ; 295 ; 0
Fri May 29 21:27:41 2026 ; 98 ; -28.0 ; -28.0 ; 242 ; 0
Fri May 29 21:27:43 2026 ; 99 ; -28.0 ; -28.0 ; 271 ; 0
Fri May 29 21:27:45 2026 ; 100 ; -28.0 ; -28.0 ; 289 ; 0
