Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Sat May 30 20:58:59 2026 ; 1 ; -31.0 ; -31.0 ; 195 ; 0
Sat May 30 20:59:01 2026 ; 2 ; -31.0 ; -31.0 ; 281 ; 0
Sat May 30 20:59:04 2026 ; 3 ; -31.0 ; -31.0 ; 225 ; 0
Sat May 30 20:59:06 2026 ; 4 ; -31.0 ; -31.0 ; 237 ; 0
Sat May 30 20:59:08 2026 ; 5 ; -31.0 ; -31.0 ; 278 ; 0
Sat May 30 20:59:10 2026 ; 6 ; -31.0 ; -31.0 ; 241 ; 0
Sat May 30 20:59:12 2026 ; 7 ; -31.0 ; -31.0 ; 271 ; 0
Sat May 30 20:59:14 2026 ; 8 ; -31.0 ; -31.0 ; 240 ; 0
Sat May 30 20:59:16 2026 ; 9 ; -31.0 ; -31.0 ; 151 ; 0
Sat May 30 20:59:18 2026 ; 10 ; -31.0 ; -31.0 ; 234 ; 0
