Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri May 29 20:16:34 2026 ; 31 ; -28.0 ; -28.0 ; 280 ; 1
Fri May 29 20:16:36 2026 ; 32 ; -28.0 ; -28.0 ; 291 ; 1
Fri May 29 20:16:38 2026 ; 33 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:16:40 2026 ; 34 ; -28.0 ; -28.0 ; 287 ; 1
Fri May 29 20:16:42 2026 ; 35 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:16:44 2026 ; 36 ; -28.0 ; -28.0 ; 229 ; 1
Fri May 29 20:16:46 2026 ; 37 ; -28.0 ; -28.0 ; 271 ; 1
Fri May 29 20:16:48 2026 ; 38 ; -28.0 ; -28.0 ; 292 ; 1
Fri May 29 20:16:50 2026 ; 39 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:16:52 2026 ; 40 ; -28.0 ; -28.0 ; 208 ; 1
Fri May 29 20:16:54 2026 ; 41 ; -28.0 ; -28.0 ; 289 ; 0
Fri May 29 20:16:56 2026 ; 42 ; -28.0 ; -28.0 ; 268 ; 0
Fri May 29 20:16:58 2026 ; 43 ; -28.0 ; -28.0 ; 283 ; 1
Fri May 29 20:17:00 2026 ; 44 ; -28.0 ; -28.0 ; 198 ; 1
Fri May 29 20:17:03 2026 ; 45 ; -28.0 ; -28.0 ; 272 ; 1
Fri May 29 20:17:05 2026 ; 46 ; -28.0 ; -28.0 ; 239 ; 1
Fri May 29 20:17:07 2026 ; 47 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:17:09 2026 ; 48 ; -28.0 ; -28.0 ; 284 ; 1
Fri May 29 20:17:11 2026 ; 49 ; -28.0 ; -28.0 ; 237 ; 1
Fri May 29 20:17:13 2026 ; 50 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 20:17:15 2026 ; 51 ; -28.0 ; -28.0 ; 279 ; 0
Fri May 29 20:17:17 2026 ; 52 ; -28.0 ; -28.0 ; 215 ; 0
Fri May 29 20:17:19 2026 ; 53 ; -28.0 ; -28.0 ; 240 ; 0
Fri May 29 20:17:21 2026 ; 54 ; -28.0 ; -28.0 ; 272 ; 0
Fri May 29 20:17:23 2026 ; 55 ; -28.0 ; -28.0 ; 263 ; 0
Fri May 29 20:17:25 2026 ; 56 ; -28.0 ; -28.0 ; 278 ; 0
Fri May 29 20:17:27 2026 ; 57 ; -28.0 ; -28.0 ; 254 ; 0
Fri May 29 20:17:29 2026 ; 58 ; -28.0 ; -28.0 ; 286 ; 0
Fri May 29 20:17:31 2026 ; 59 ; -28.0 ; -28.0 ; 283 ; 0
Fri May 29 20:17:33 2026 ; 60 ; -28.0 ; -28.0 ; 288 ; 0
Fri May 29 20:17:36 2026 ; 61 ; -31.0 ; -31.0 ; 241 ; 0
Fri May 29 20:17:38 2026 ; 62 ; -32.0 ; -32.0 ; 298 ; 0
Fri May 29 20:17:40 2026 ; 63 ; -33.0 ; -33.0 ; 366 ; 0
Fri May 29 20:17:42 2026 ; 64 ; -32.0 ; -32.0 ; 371 ; 0
Fri May 29 20:17:44 2026 ; 65 ; -28.0 ; -28.0 ; 351 ; 0
Fri May 29 20:17:46 2026 ; 66 ; -30.0 ; -30.0 ; 250 ; 0
Fri May 29 20:17:48 2026 ; 67 ; -30.0 ; -29.0 ; 302 ; 0
Fri May 29 20:17:50 2026 ; 68 ; -30.0 ; -30.0 ; 215 ; 0
Fri May 29 20:17:52 2026 ; 69 ; -30.0 ; -30.0 ; 240 ; 0
Fri May 29 20:17:54 2026 ; 70 ; -30.0 ; -30.0 ; 286 ; 0
Fri May 29 20:17:56 2026 ; 71 ; -30.0 ; -30.0 ; 281 ; 0
Fri May 29 20:17:58 2026 ; 72 ; -28.0 ; -28.0 ; 303 ; 0
Fri May 29 20:18:00 2026 ; 73 ; -28.0 ; -28.0 ; 318 ; 0
Fri May 29 20:18:02 2026 ; 74 ; -28.0 ; -28.0 ; 255 ; 0
Fri May 29 20:18:04 2026 ; 75 ; -28.0 ; -28.0 ; 322 ; 0
Fri May 29 20:18:07 2026 ; 76 ; -28.0 ; -28.0 ; 319 ; 0
Fri May 29 20:18:09 2026 ; 77 ; -28.0 ; -28.0 ; 329 ; 0
Fri May 29 20:18:11 2026 ; 78 ; -28.0 ; -28.0 ; 324 ; 0
Fri May 29 20:18:13 2026 ; 79 ; -28.0 ; -28.0 ; 320 ; 0
Fri May 29 20:18:15 2026 ; 80 ; -28.0 ; -28.0 ; 325 ; 0
Fri May 29 20:18:17 2026 ; 81 ; -28.0 ; -28.0 ; 302 ; 0
Fri May 29 20:18:19 2026 ; 82 ; -28.0 ; -28.0 ; 331 ; 0
Fri May 29 20:18:21 2026 ; 83 ; -28.0 ; -28.0 ; 314 ; 0
Fri May 29 20:18:23 2026 ; 84 ; -28.0 ; -28.0 ; 323 ; 0
Fri May 29 20:18:25 2026 ; 85 ; -28.0 ; -28.0 ; 293 ; 0
Fri May 29 20:18:27 2026 ; 86 ; -28.0 ; -28.0 ; 315 ; 0
Fri May 29 20:18:29 2026 ; 87 ; -28.0 ; -28.0 ; 318 ; 0
Fri May 29 20:18:31 2026 ; 88 ; -28.0 ; -28.0 ; 314 ; 0
Fri May 29 20:18:33 2026 ; 89 ; -28.0 ; -28.0 ; 288 ; 0
Fri May 29 20:18:36 2026 ; 90 ; -28.0 ; -28.0 ; 275 ; 0
Fri May 29 20:18:38 2026 ; 91 ; -28.0 ; -28.0 ; 331 ; 0
Fri May 29 20:18:40 2026 ; 92 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 20:18:42 2026 ; 93 ; -28.0 ; -28.0 ; 323 ; 0
Fri May 29 20:18:44 2026 ; 94 ; -28.0 ; -28.0 ; 272 ; 0
Fri May 29 20:18:46 2026 ; 95 ; -28.0 ; -28.0 ; 267 ; 0
Fri May 29 20:18:48 2026 ; 96 ; -28.0 ; -28.0 ; 320 ; 0
Fri May 29 20:18:50 2026 ; 97 ; -28.0 ; -28.0 ; 325 ; 0
Fri May 29 20:18:52 2026 ; 98 ; -28.0 ; -28.0 ; 304 ; 0
Fri May 29 20:18:54 2026 ; 99 ; -28.0 ; -28.0 ; 329 ; 0
Fri May 29 20:18:56 2026 ; 100 ; -28.0 ; -28.0 ; 272 ; 0
Fri May 29 20:18:58 2026 ; 101 ; -28.0 ; -28.0 ; 323 ; 0
Fri May 29 20:19:00 2026 ; 102 ; -29.0 ; -28.0 ; 325 ; 0
Fri May 29 20:19:03 2026 ; 103 ; -28.0 ; -28.0 ; 275 ; 0
Fri May 29 20:19:05 2026 ; 104 ; -28.0 ; -28.0 ; 330 ; 0
Fri May 29 20:19:07 2026 ; 105 ; -28.0 ; -28.0 ; 323 ; 0
Fri May 29 20:19:09 2026 ; 106 ; -28.0 ; -28.0 ; 299 ; 0
Fri May 29 20:19:11 2026 ; 107 ; -28.0 ; -28.0 ; 274 ; 0
Fri May 29 20:19:13 2026 ; 108 ; -28.0 ; -28.0 ; 320 ; 0
Fri May 29 20:19:15 2026 ; 109 ; -28.0 ; -28.0 ; 322 ; 0
Fri May 29 20:19:17 2026 ; 110 ; -28.0 ; -28.0 ; 294 ; 0
Fri May 29 20:19:19 2026 ; 111 ; -28.0 ; -28.0 ; 311 ; 0
Fri May 29 20:19:21 2026 ; 112 ; -28.0 ; -28.0 ; 313 ; 0
Fri May 29 20:19:23 2026 ; 113 ; -28.0 ; -28.0 ; 330 ; 0
Fri May 29 20:19:25 2026 ; 114 ; -28.0 ; -28.0 ; 321 ; 0
Fri May 29 20:19:27 2026 ; 115 ; -28.0 ; -28.0 ; 257 ; 0
Fri May 29 20:19:30 2026 ; 116 ; -29.0 ; -28.0 ; 297 ; 0
Fri May 29 20:19:32 2026 ; 117 ; -28.0 ; -28.0 ; 298 ; 0
Fri May 29 20:19:34 2026 ; 118 ; -29.0 ; -28.0 ; 310 ; 0
Fri May 29 20:19:36 2026 ; 119 ; -29.0 ; -28.0 ; 320 ; 0
Fri May 29 20:19:38 2026 ; 120 ; -29.0 ; -28.0 ; 266 ; 0
Fri May 29 20:19:40 2026 ; 121 ; -28.0 ; -28.0 ; 241 ; 0
Fri May 29 20:19:42 2026 ; 122 ; -28.0 ; -28.0 ; 305 ; 0
Fri May 29 20:19:44 2026 ; 123 ; -29.0 ; -28.0 ; 281 ; 0
Fri May 29 20:19:46 2026 ; 124 ; -28.0 ; -28.0 ; 320 ; 0
Fri May 29 20:19:48 2026 ; 125 ; -29.0 ; -28.0 ; 226 ; 0
Fri May 29 20:19:50 2026 ; 126 ; -28.0 ; -28.0 ; 256 ; 0
Fri May 29 20:19:53 2026 ; 127 ; -28.0 ; -28.0 ; 240 ; 0
Fri May 29 20:19:55 2026 ; 128 ; -29.0 ; -28.0 ; 263 ; 0
Fri May 29 20:19:57 2026 ; 129 ; -28.0 ; -28.0 ; 251 ; 0
Fri May 29 20:19:59 2026 ; 130 ; -28.0 ; -28.0 ; 260 ; 0
Fri May 29 20:20:01 2026 ; 131 ; -28.0 ; -28.0 ; 297 ; 0
Fri May 29 20:20:03 2026 ; 132 ; -28.0 ; -28.0 ; 298 ; 0
Fri May 29 20:20:05 2026 ; 133 ; -28.0 ; -28.0 ; 304 ; 0
Fri May 29 20:20:07 2026 ; 134 ; -28.0 ; -28.0 ; 272 ; 0
Fri May 29 20:20:09 2026 ; 135 ; -28.0 ; -28.0 ; 250 ; 0
Fri May 29 20:20:11 2026 ; 136 ; -28.0 ; -28.0 ; 295 ; 0
Fri May 29 20:20:13 2026 ; 137 ; -28.0 ; -28.0 ; 320 ; 0
Fri May 29 20:20:15 2026 ; 138 ; -28.0 ; -28.0 ; 331 ; 0
Fri May 29 20:20:17 2026 ; 139 ; -28.0 ; -28.0 ; 328 ; 0
Fri May 29 20:20:20 2026 ; 140 ; -28.0 ; -28.0 ; 290 ; 0
Fri May 29 20:20:22 2026 ; 141 ; -28.0 ; -28.0 ; 306 ; 0
Fri May 29 20:20:24 2026 ; 142 ; -28.0 ; -28.0 ; 304 ; 
