Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri May 29 20:15:32 2026 ; 1 ; -28.0 ; -28.0 ; 287 ; 1
Fri May 29 20:15:34 2026 ; 2 ; -28.0 ; -28.0 ; 282 ; 1
Fri May 29 20:15:36 2026 ; 3 ; -28.0 ; -28.0 ; 283 ; 1
Fri May 29 20:15:38 2026 ; 4 ; -28.0 ; -28.0 ; 229 ; 1
Fri May 29 20:15:40 2026 ; 5 ; -28.0 ; -28.0 ; 260 ; 1
Fri May 29 20:15:42 2026 ; 6 ; -28.0 ; -28.0 ; 290 ; 1
Fri May 29 20:15:44 2026 ; 7 ; -28.0 ; -28.0 ; 267 ; 1
Fri May 29 20:15:46 2026 ; 8 ; -28.0 ; -28.0 ; 236 ; 1
Fri May 29 20:15:48 2026 ; 9 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:15:50 2026 ; 10 ; -28.0 ; -28.0 ; 289 ; 1
Fri May 29 20:15:52 2026 ; 11 ; -28.0 ; -28.0 ; 259 ; 1
Fri May 29 20:15:54 2026 ; 12 ; -28.0 ; -28.0 ; 242 ; 1
Fri May 29 20:15:56 2026 ; 13 ; -28.0 ; -28.0 ; 269 ; 1
Fri May 29 20:15:58 2026 ; 14 ; -28.0 ; -28.0 ; 288 ; 1
Fri May 29 20:16:01 2026 ; 15 ; -28.0 ; -28.0 ; 221 ; 1
Fri May 29 20:16:03 2026 ; 16 ; -28.0 ; -28.0 ; 267 ; 1
Fri May 29 20:16:05 2026 ; 17 ; -28.0 ; -28.0 ; 289 ; 1
Fri May 29 20:16:07 2026 ; 18 ; -28.0 ; -28.0 ; 236 ; 1
Fri May 29 20:16:09 2026 ; 19 ; -28.0 ; -28.0 ; 276 ; 1
Fri May 29 20:16:11 2026 ; 20 ; -28.0 ; -28.0 ; 275 ; 1
Fri May 29 20:16:13 2026 ; 21 ; -28.0 ; -28.0 ; 256 ; 1
Fri May 29 20:16:15 2026 ; 22 ; -28.0 ; -28.0 ; 272 ; 1
Fri May 29 20:16:17 2026 ; 23 ; -31.0 ; -32.0 ; 194 ; 1
Fri May 29 20:16:19 2026 ; 24 ; -31.0 ; -31.0 ; 92 ; 1
Fri May 29 20:16:21 2026 ; 25 ; -31.0 ; -31.0 ; 208 ; 1
Fri May 29 20:16:23 2026 ; 26 ; -30.0 ; -28.0 ; 209 ; 1
Fri May 29 20:16:25 2026 ; 27 ; -28.0 ; -28.0 ; 287 ; 1
Fri May 29 20:16:27 2026 ; 28 ; -28.0 ; -28.0 ; 272 ; 1
Fri May 29 20:16:30 2026 ; 29 ; -28.0 ; -28.0 ; 254 ; 1
Fri May 29 20:16:32 2026 ; 30 ; -28.0 ; -28.0 ; 289 ; 1
